,Theta
0,1.3524159775701323
1,0.9667836787942028
2,-1.3986508232957455
3,0.9915205486671608
4,2.7208454301570364
5,0.9763126846455612
6,0.9831162353123528
7,0.8315565391503305
8,-0.6675569116843492
9,-0.5639127750570839
10,-0.577319250797552
11,0.9593998341991482
12,-1.3189114129338682
13,2.966336340100572
14,0.1164588208403278
15,-1.055447038242423
16,0.9177387895652556
17,0.9751482379481466
18,-0.6622380622878622
19,0.7648634291556321
20,-1.067375413547867
21,0.9632943192930096
22,-1.500608543336987
23,0.9715633693482302
24,-1.320606187594009
25,0.9155840246121388
26,-0.19680203396773646
27,-1.2639925456438974
28,1.0032010071513209
29,-0.7159712911120143
30,0.4527926940017866
31,0.2625844155740679
32,0.9942486454934768
33,0.5261901749637694
34,0.92784548328848
35,1.66870484263622
36,1.103427133746679
37,-0.040011551035904286
38,-0.7052541546871159
39,0.9703867308512344
40,-0.8509828190691713
41,0.9321195650260224
42,-0.7726053809192466
43,-0.4130974294611197
44,0.9873819706572609
45,1.006918552068537
46,0.9889088512041924
47,0.9943495796577188
48,0.9992161302609648
49,0.8771799254251017
50,-0.7270096651343401
51,1.0059911890288988
52,0.7277197815205934
53,0.5315311970720279
54,0.9777919445150592
55,1.0068203096758193
56,1.588056696903937
57,-0.5204509307800692
58,1.0395246673512684
59,0.9642758791459168
60,0.9797499545545912
61,0.902175572026281
62,1.2529917998453357
63,0.4701293893928062
64,0.09621454545007216
65,0.9251604105359232
66,0.9926496979398782
67,-0.6640113215336423
68,0.4501318292877336
69,0.9846760041972682
70,-0.18322132278219555
71,0.1997654411074901
72,1.0067298766861597
73,-0.7048597981758021
74,1.0057064862107759
75,1.0231564652764602
76,0.8629457054796691
77,0.23327635258227605
78,1.0105555680875231
79,1.0092822385364542
80,1.0153223303629528
81,1.0214565281444814
82,1.0073942359721897
83,-0.8259361733389241
84,-1.2220927459731068
85,0.91208955065708
86,0.3874180680281791
87,0.6437270045171454
88,0.6954399941969787
89,0.985173174810038
90,-1.515313683797236
91,1.0505622839764537
92,-0.1216052358366722
93,0.025158406281521103
94,1.1316839798656009
95,0.5762877069626502
96,1.2616134378024884
97,0.17435617369961168
98,0.8097334213104292
99,0.8074927813911165
100,0.5298052153073233
101,1.3515979765898232
102,-0.5230550334138921
103,1.1113615881376415
104,0.18173848958614147
105,2.981513099828152
106,0.8759978099045448
107,-1.2005056802985683
108,0.5786362371041236
109,-0.41683054139071823
110,0.7653035525742047
111,0.8233691035774865
112,0.8793664485852203
113,0.990137403414093
114,0.7868516642925238
115,0.6098972926660022
116,1.1286185888177938
117,1.3957109405638797
118,0.11931950714299125
119,0.9808156514763748
120,-1.3744836320721971
121,0.6616197411728403
122,-0.6122900151261008
123,1.0148638879646938
124,0.9937664183334668
125,0.9861033295723368
126,-1.3344182232508812
127,-0.4825479711884858
128,1.1072524488733666
129,-0.8110423041564515
130,0.7009010602627535
131,-0.4341836866408146
132,1.2620505238669597
133,0.3377887522318996
134,0.9895197834396928
135,0.9883284970140316
136,1.057686709933016
137,0.4239230440106852
138,0.03734216196580036
139,0.7583345089161505
140,1.004644042423373
141,0.3368138510317981
142,0.7990421171481307
143,-0.14970689924234226
144,0.545704134885803
145,0.8044672353707564
146,0.8737067207788691
147,0.676367473311873
148,1.0001450036980215
149,-0.24706649340074946
150,1.1268740458407414
151,0.4901221782983967
152,0.33579328376992673
153,-1.9126865392124603
154,1.0227152560696802
155,0.8135274730926346
