,Theta
0,0.03419201133710631
1,0.0685209176191118
2,-0.0057006885310628376
3,-0.04231070511215672
4,0.007003473393214327
5,-0.0015767661389851724
6,0.2975889285843878
7,-0.0003793275541202439
8,-0.014131325675068118
9,0.009720463061396739
10,-0.034137155146386364
11,-0.09515026127127331
12,0.06220808024294411
13,-0.002167552854768473
14,0.24120291730938712
15,-0.04674120641743512
16,-0.0072630768217463865
17,-0.014556730889566319
18,-0.005410305783438978
19,-0.011208494331349466
20,0.002466746808452537
21,-0.06411237734606368
22,-0.03000000892105799
23,0.06432719972876741
24,-0.004194641995427312
25,-0.02124480242533123
26,-0.010376538182923868
27,-0.0012464776852324818
28,-0.020684084635215455
29,0.08292257941473065
30,0.03889759319487304
31,0.0337582195333703
32,-0.056913366780310906
33,0.0002540052452769758
34,-0.0011790316714481183
35,-0.04998337116204619
36,-0.0015995059930971848
37,0.14786248588853687
38,0.05647878065236485
39,-0.02579495799687686
40,-0.026061212685279545
41,0.0036374997202143016
42,-0.005616680084751672
43,0.00019597633355033242
44,-0.04991602104244806
45,0.03392657091547828
46,0.0003930291803246618
47,0.0015656169300853786
48,0.0005000530557085098
49,0.0004978162123468257
50,-0.05956742396895609
51,0.010795752667378032
52,-0.01740684452591611
53,-0.0020350341222234265
54,-0.02722218886501512
55,0.0017359710413026072
56,0.004628031094652023
57,0.10773563394189344
58,0.010771747824655249
59,0.03095619859779246
60,0.00039833320913625124
61,1.012254455256685e-06
62,0.1044544341066872
63,0.06334669616606746
64,-0.019998093707983083
65,0.025609328990653484
66,-0.006621572033615255
67,-0.000859483438940502
68,-0.002708502292328324
69,-0.003070880016241863
70,0.003187923415596393
71,-0.00033905491844357714
72,-0.02457097276462444
73,0.08582767239612445
74,0.0025938719200551013
75,-0.08346509407427871
76,-0.0025101382692634517
77,0.0035651627050307115
78,-0.011923207659146355
79,-0.008279068872902808
80,0.004190716698831209
81,0.0013003206813297886
82,0.00931324892748626
83,0.0062680314782954235
84,-0.04088809557651537
85,0.03552309399194226
86,-0.005663006849547447
87,0.010114318488038307
88,-0.008031519357880703
89,0.001438104217839543
90,0.06239583903937001
91,0.015396642560935276
92,0.056998583372884076
93,-0.024338048497191952
94,-0.09230171573774264
95,0.07039903324556536
96,0.050341261354697034
97,0.11923790624009432
98,0.03317394202483013
99,-0.04615881305728752
100,0.008209422813589612
101,0.02859436077037569
102,0.09539752919106816
103,0.05424969842608517
104,-0.019712136858978668
105,-0.0011403573928464225
106,0.024844300616064744
107,0.3642251836187343
108,-0.1595962360621207
109,0.04821143733195966
110,-0.077298079805441
111,-0.009586457327470425
112,0.039675707333334816
113,0.01842817309467963
114,-0.012964518678607812
115,-0.024653030972661583
116,-0.00324344324488174
117,0.11114696284018437
118,0.09289333781320729
119,-0.06916402011931451
120,0.06426041206588848
121,0.027847193188874516
122,-0.04430244043028956
123,-0.1888930115074056
124,0.002383567602657402
125,0.0029367212825374316
126,0.0025845117242391893
127,-0.09156010310172827
128,0.015680592315117634
129,-0.10968091431110746
130,0.0075947467544884035
131,-0.07222566902330178
132,0.05582825272521612
133,-0.07474664196176103
134,-0.0018432372914606511
135,0.05623315214551146
136,0.16543133471719854
137,-0.06552092773804748
138,-0.010456543360882985
139,-0.03491208109038487
140,0.11374014279501976
141,0.010936149415261992
142,0.022451925244864637
143,-0.034515991559136976
144,0.027806672081053047
145,0.0019902080160224605
146,-0.03183210125254856
147,0.0037868849966137272
148,-0.10397862841109877
149,0.021298735138584435
150,0.02144714312898729
151,-0.011392315905143346
152,-0.003916063458495891
153,0.007593165868524343
154,-0.12609359441841642
155,-0.056462269386169
156,0.002324416393372108
157,-0.002224481416404501
158,-0.026964999320794884
159,-0.21733627690897409
160,0.03130189707049595
161,-0.06183025971288435
162,-0.0003530920651641303
163,0.007336763545071067
164,0.051031674013546476
165,-0.0002776567283428766
166,-0.0029563358721231107
167,-0.0035428146008913137
168,-0.004711879430053337
169,-0.04894727354533634
170,-0.04209540801166332
171,-0.02867029620372983
172,-0.02884302277847131
173,-0.061906790614585684
174,-0.1250818305300394
175,-0.03130600494379411
176,0.06180354316078829
177,0.09470436780734268
178,-0.008325184070899879
179,0.01136782915740948
180,-0.03313076374192241
181,-0.19089953642797972
182,-0.049269905128008926
183,-0.00677058010436047
184,-0.00029592371020856824
185,-0.035626871570184696
186,0.005772484565306562
187,0.0003455134224218133
188,0.03666769458774175
189,9.963759683130501e-05
190,-0.16008609954051822
191,-0.06923992273161148
192,-0.015605441093772867
193,0.017580949751894386
194,-0.024701237569414888
195,-0.00734788420378633
196,0.030945744715856725
197,0.024603319696307885
198,-0.002749490924936148
199,0.017191787795450057
200,-0.0003047571592427884
201,-0.00048398659114143913
202,0.0005217065102368828
203,-6.0753084323746525e-05
204,0.003811324391447079
205,0.006681006135568322
206,0.0032742522576844364
207,-0.007628262438335012
208,0.029385193406539913
209,-0.0037611181004161957
210,0.02621317759022037
211,0.0006176689893711436
212,-0.09422834162580905
213,0.02892275367679574
214,0.002788959457179957
215,0.04138852506207798
216,-0.020315435107696043
217,-0.0011711418472538596
218,-0.0031724393822027295
219,3.723900381465465e-05
220,0.0017310903880033543
221,0.05044073966835531
222,0.002666697982764622
223,-0.03014970004380544
224,0.00974398864748713
225,0.00964217520115057
226,-0.04900094426718012
227,-0.00034380684120846106
228,0.00038786803489724984
229,-0.005880703023258863
230,-0.0011014399981021015
231,0.09183428273532865
232,-0.0001033321073320458
233,0.027014545106955834
234,0.05836679783533475
235,0.005386771811637641
236,-0.27006311397718674
237,-0.03739341889533176
238,-0.027793697724570774
239,-0.009204104677551471
240,-0.02835743167588695
241,-0.01377713434754428
242,0.0015431817608094638
243,0.04312971958748005
244,0.0012617513953875365
245,0.0027697880339807423
246,0.00830015982157415
247,-0.022816580942727944
248,-0.028610057493068726
249,0.015321546887269895
250,-0.02334096680163267
251,-0.004369007757656123
252,-0.01903635499874705
253,0.05694906077110781
254,-0.08731779846881162
255,-0.05889080503669754
256,0.004038641854301696
257,-0.004738033339931805
258,0.004679529369909424
259,0.0013890750525720336
260,0.011986786740728634
261,0.000204684415084523
262,0.0032836521489147566
263,-0.00387456644429848
264,0.0038097665079099806
265,-0.016599516727027083
266,-0.00027752138028104036
267,-0.006641682092857585
268,-0.0010719921415667892
269,-0.001036790429745865
270,-0.0029212913231123263
271,0.004946095345400382
272,0.07691243972536507
273,0.1371163939839525
274,-0.0016674609577134927
275,0.003398809063793151
276,0.025502927037166754
277,0.02263641408707665
278,0.015517748566296181
279,0.005709062086638593
280,0.06755794398460906
281,0.002783766320314278
282,0.004185995239394125
283,0.0061037326451426985
284,0.0037162948582430393
285,-0.016753029983586697
286,0.0073489370313558735
287,-0.041755251168072785
288,0.006866797524983312
289,-0.0007460395813485941
290,-0.03791586417813369
291,0.004390579397718456
292,-0.011980854692895683
293,0.0023546091761245205
294,0.020934626111776686
295,-0.013444540195643211
296,0.02704274866506671
297,-0.0027540425353662725
298,0.0018883770804893915
299,0.004774289965568063
300,0.003395099156121407
301,-0.003810943316088221
302,-0.0022833714923873698
303,0.005295590857607585
304,-0.03657662889121717
305,0.005772558599127801
306,-0.11480213295673268
307,0.0017237632946420535
308,0.006360063210164818
309,0.030247510089621316
310,-0.01994541507539304
311,-0.030034812610319837
312,0.0062451796394451566
313,-0.00033131699838785065
314,0.003189770034346621
315,-0.11589463089720359
316,0.015977660126355212
317,0.0029368454414169355
318,-0.032769636844108864
319,-0.0025534948317068435
320,0.003468050419185711
321,-0.12900843177471752
322,0.034983304940231
323,0.001271391993304229
324,-0.006692688526699259
325,0.0085564208392028
326,-0.056724241679537886
327,0.0027528347073225413
328,0.019953031191123512
329,-0.028730846219285247
330,-0.023485663146912618
331,-0.5247723001676595
332,0.007158745241648216
333,0.015719760191904793
334,-0.07669410966891588
335,-0.26287272658710065
336,-0.0015191050291693796
